file,line,severity,category,description,code
FST_Cost_V1/api/definitions/tours.php,325,high,sql_injection,SQL sorgusu içinde string birleştirme veya ham kullanıcı girdisi kullanımı.,"$subRegionsQuery = ""SELECT tsr.sub_region_id, sr.name as sub_region_name"
FST_Cost_V1/api/definitions/tours.php,340,high,sql_injection,SQL sorgusu içinde string birleştirme veya ham kullanıcı girdisi kullanımı.,SELECT FROM information_schema.tables
FST_Cost_V1/api/definitions/tours.php,348,high,sql_injection,SQL sorgusu içinde string birleştirme veya ham kullanıcı girdisi kullanımı.,"$routesQuery = ""SELECT tcr.sub_region_id, tcr.vehicle_contract_route_id,"
FST_Cost_V1/api/definitions/tours.php,366,high,sql_injection,SQL sorgusu içinde string birleştirme veya ham kullanıcı girdisi kullanımı.,"$contractRoutesQuery = ""SELECT vcr.*, vc.contract_code"
FST_Cost_V1/api/definitions/tours.php,499,high,sql_injection,SQL sorgusu içinde string birleştirme veya ham kullanıcı girdisi kullanımı.,"$query = ""SELECT vc.id, vc.contract_code, vc.start_date, vc.end_date,"
FST_Cost_V1/api/definitions/tours.php,552,high,sql_injection,SQL sorgusu içinde string birleştirme veya ham kullanıcı girdisi kullanımı.,"$query = ""SELECT vcr.*, vc.contract_code"
FST_Cost_V1/api/definitions/tours.php,579,high,sql_injection,SQL sorgusu içinde string birleştirme veya ham kullanıcı girdisi kullanımı.,SELECT FROM information_schema.tables
FST_Cost_V1/api/definitions/tours.php,596,high,sql_injection,SQL sorgusu içinde string birleştirme veya ham kullanıcı girdisi kullanımı.,"$query = ""SELECT tcr.*, sr.name as sub_region_name, vcr.from_location, vcr.to_location"
FST_Cost_V1/api/definitions/tours.php,623,high,sql_injection,SQL sorgusu içinde string birleştirme veya ham kullanıcı girdisi kullanımı.,SELECT FROM information_schema.tables
FST_Cost_V1/api/definitions/tours.php,645,high,sql_injection,SQL sorgusu içinde string birleştirme veya ham kullanıcı girdisi kullanımı.,"echo json_encode(['success' => false, 'message' => 'Failed to delete existing routes: ' . getDbErrorMessage($conn)]);"
FST_Cost_V1/api/definitions/users.php,16,medium,debug_mode,Hata gösterimi/raporlama üretimde açık olabilir.,error_reporting(E_ALL); // Still log errors but don't display
FST_Cost_V1/api/definitions/users.php,38,high,file_inclusion,Değişkene bağlı include/require tespit edildi. RFI/LFI riski.,"echo json_encode(['success' => false, 'message' => 'Database connection failed: ' . $e->getMessage()]);"
FST_Cost_V1/api/definitions/users.php,44,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$action = $_GET['action'] ?? '';
FST_Cost_V1/api/definitions/users.php,82,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$city_id = isset($_GET['city_id']) ? (int)$_GET['city_id'] : null;
FST_Cost_V1/api/definitions/users.php,89,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$country_id = isset($_GET['country_id']) ? (int)$_GET['country_id'] : null;
FST_Cost_V1/api/definitions/users.php,96,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$department_id = isset($_GET['department_id']) ? (int)$_GET['department_id'] : null;
FST_Cost_V1/api/definitions/users.php,132,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$id = $_GET['id'] ?? null;
FST_Cost_V1/api/definitions/users.php,151,high,sql_injection,SQL sorgusu içinde string birleştirme veya ham kullanıcı girdisi kullanımı.,"$query = ""SELECT u.*,"
